Brand,Series,Model,Price
Hyundai,Accent,1.3 LS,235000
Ford,Escort,1.3 CL,245000
Volkswagen,Polo,1.6,306500
Ford,Escort,1.6 CLX,200000
Fiat,Uno,1.4 ie Hobby,230000
Renault,R 12,Toros,205000
Tofaş,Doğan,S,215000
Tofaş,Doğan,SLX ie,299999
Fiat,Uno,1.4 ie SX,190000
Renault,R 9,1.4 Broadway RNi,200000
Hyundai,Accent,1.3 GLS,270000
Suzuki,Swift,1.3 GLX,188000
Nissan,Primera,1.6 GX,365000
Fiat,Tempra,1.6 SX SW,125000
Toyota,Corolla,1.6 XEi,460000
Renault,R 19,1.6 Europa RNE,285000
Ford,Fiesta,1.25 Flair,235000
Fiat,Tipo,1.4 SX ie,210000
Ford,Fiesta,1.25 Flair,225000
Fiat,Uno,70 SXie,210000
Renault,R 19,1.6 Europa iE,270000
Volkswagen,Polo,1.6,220000
Tofaş,Kartal,S,235000
Volkswagen,Polo,1.6,310000
Opel,Astra,1.6 GL,255000
Fiat,Tipo,1.6 SLX,298250
Tofaş,Doğan,SLX ie,275000
Tofaş,Şahin,S,220000
Hyundai,Accent,1.3 LS,350000
Fiat,Uno,1.4 ie SX,245000
Tofaş,Doğan,S,189000
Tofaş,Şahin,S,160000
Daewoo,Nubira,2.0 CDX,247000
Fiat,Palio,1.6 HL,305000
Tofaş,Şahin,1.4,233000
Fiat,Tipo,1.6 SLX,285000
Fiat,Uno,70 S,225000
Ford,Ka,1.3,195000
Renault,R 9,1.4 Broadway RNi,256500
Renault,Clio,1.4 RN,255000
Seat,Ibiza,1.6 CLX,159000
Citroen,Saxo,1.4 VSX,219000
Opel,Astra,1.4 GL,275000
Fiat,Tipo,1.4 SX ie,219700
Opel,Corsa,1.4 GLS,270000
Renault,R 9,1.4 Broadway RNi,247000
Renault,R 9,1.4 Broadway RNi,315000
Fiat,Marea,1.6 ELX,328000
Tofaş,Şahin,S,189000
Renault,R 19,1.9 Europa RN,199000
Peugeot,106,GTI,310000
Opel,Astra,1.4 Classic,260000
Ford,Escort,1.6 CLX,255000
Renault,R 9,1.4 Broadway RN,300000
Honda,Civic,1.4 1.4i,390000
Fiat,Tipo,1.6 SX,255000
Renault,R 9,1.4 Broadway RL,220000
Fiat,Tipo,1.6 SLX,253000
Ford,Fiesta,1.25 Flair,257500
Toyota,Corolla,1.6 XEi,400000
Opel,Astra,1.6 CD,330000
Volkswagen,Polo,1.6,350000
Tofaş,Doğan,SLX ie,360000
Toyota,Corolla,1.3 XL,250000
Ford,Escort,1.6 CLX,238000
Volkswagen,Polo,1.6 Comfortline,295500
Ford,Escort,1.8 CLX,230000
Ford,Ka,1.3,185000
Volkswagen,Polo,1.6,330000
Tofaş,Doğan,SLX ie,295000
Tofaş,Kartal,S,250000
Fiat,Tipo,1.6 SX,310000
Ford,Escort,1.6 CL,180000
Proton,416,GLX,245000
Volkswagen,Polo,1.6,250000
Renault,Megane,2.0 RXT,235000
Porsche,911,Carrera,2000000
Opel,Corsa,1.4 Swing,305000
Tofaş,Kartal,S,315000
Skoda,Felicia,1.3 GLX,295000
Fiat,Palio,1.6 HL,283000
Tofaş,Doğan,SLX ie,358000
Opel,Astra,1.6,340000
Fiat,Tipo,1.6 SLX,235000
Fiat,Tempra,1.6 SX,165000
Ford,Mondeo,2.0 GLX,200000
Opel,Astra,1.6 GLS,333000
Peugeot,106,XR,265000
Ford,Escort,1.6 CL,230000
Hyundai,Accent,1.5 GLS,280000
Opel,Astra,1.4 GL,270000
Volkswagen,Polo,1.6,315000
Hyundai,Accent,1.3 GLS,272000
Nissan,Micra,1.3 Magic,194900
Ford,Escort,1.6 CLX,220000
Hyundai,Accent,1.3 LS,249000
Opel,Corsa,1.4 Swing,337000
Proton,415,GLS,135000
Renault,R 19,1.6 Europa RT,240000
Ford,Ka,1.3,220000
Fiat,Tipo,1.6 SX,248000
Ford,Ka,1.3,175000
Fiat,Tempra,1.6 S,160000
Renault,R 9,1.4 Broadway RNi,265000
Fiat,Tipo,1.4 ie,206000
Ford,Ka,1.3,210000
Fiat,Uno,70 S,190000
Volkswagen,Polo,1.6,325000
Daewoo,Espero,2.0i,180000
Volkswagen,Polo,1.6,295000
Fiat,Tipo,1.4 SX ie,200000
Opel,Astra,1.6 GLS,360000
Citroen,Xsara,1.6 SX,215000
Opel,Astra,1.6 CD,330000
Tofaş,Şahin,S,185000
Ford,Ka,1.3,197000
Audi,A6,A6 Sedan 2.8 Quattro,600000
Fiat,Tipo,1.4 ie,200000
Renault,R 9,1.4 Broadway RNi,260000
Ford,Escort,1.3 CL,255000
Mitsubishi,Carisma,1.8 GDI LX,330000
Tofaş,Şahin,S,240000
Ford,Escort,1.6 CLX,260000
Rover,214,Si,240000
Ford,Fiesta,1.25 Flair,220000
Ford,Fiesta,1.25 Flair,180000
Fiat,Palio,1.4 EL,275000
Toyota,Corolla,1.6 XEi,410000
Hyundai,Accent,1.3 LS,225000
Ford,Escort,1.6 CL,225000
Fiat,Palio,1.6 HL,270000
Proton,416,GLX,165000
Fiat,Tipo,1.6 SLX,269000
Renault,Clio,1.4 RT,245000
Tofaş,Doğan,SLX ie,350000
Fiat,Palio,1.4 EL,310000
Fiat,Marea,2.0 HLX,289000
Fiat,Tipo,1.4 S,230000
Ford,Escort,1.6 Ghia,270000
Tofaş,Şahin,S,150000
Fiat,Palio,1.4 EL,240000
Tofaş,Şahin,1.6,220000
Hyundai,Atos,1.0 GLS,205000
Renault,Megane,1.6 RTE,320000
Ford,Ka,1.3,195000
Hyundai,Accent,1.5 LX,255000
Renault,R 19,1.6 Europa iE,245000
Tofaş,Kartal,S,173000
Tofaş,Doğan,SLX ie,268000
Tofaş,Doğan,SLX ie,265000
Opel,Corsa,1.4 Swing,285000
Opel,Corsa,1.4 Swing,300000
Tofaş,Şahin,1.6,160000
Ford,Fiesta,1.25 Flair,252000
Fiat,Tipo,1.4 SX ie,285000
Renault,R 9,1.4 Broadway RL,205000
Fiat,Marea,1.6 ELX,280000
Ford,Escort,1.6 CLX,219000
Renault,Clio,1.4 RN,190000
Opel,Vectra,2.0 GLS,265000
Ford,Escort,1.6 CL,220000
Opel,Corsa,1.4 GLS,295000
Ford,Fiesta,1.25 Flair,260000
Fiat,Palio,1.4 EL,280000
Renault,R 9,1.4 Broadway,240000
Ford,Mondeo,2.0 Ghia,310000
Ford,Escort,1.6 CL,230000
Tofaş,Şahin,S,235000
Opel,Astra,1.6 CD,330000
Fiat,Tipo,1.6 SLX,245000
Ford,Escort,1.6 CL,190000
Fiat,Tipo,1.6 SX,235000
Nissan,Primera,1.6 GX,350000
Ford,Escort,1.6 CLX,190000
Tofaş,Doğan,SLX ie,250000
Fiat,Tipo,1.4 SX ie,203000
Ford,Escort,1.6 CLX,230000
Fiat,Uno,70 SX,180000
Fiat,Tipo,1.4 S,215000
Fiat,Palio,1.4 EL,330000
Volkswagen,Polo,1.6,299750
Nissan,Micra,1.3 GX,285000
Renault,R 9,1.4 Broadway RNi,260000
Fiat,Uno,1.4 ie SX,215000
Rover,216,Cabrio,295000
Volkswagen,Polo,1.4 Sportline,280000
Peugeot,306,1.6 Griffe,263000
Hyundai,Accent,1.5 GLS,285000
Renault,R 19,1.4 Europa RNA,165000
Opel,Corsa,1.4 GLS,335000
Fiat,Bravo,1.6 SX,218000
Volkswagen,Polo,1.6,280000
Opel,Vectra,2.0 GLS,310000
Fiat,Uno,1.4 ie Hobby,215000
Fiat,Tipo,1.4 SX ie,230000
Renault,Megane,1.6 RTE,255000
Fiat,Tipo,1.6 SX,200000
Renault,Megane,2.0 RXT,245000
Citroen,Xsara,1.6 SX,215000
Citroen,Saxo,1.4 SX,310000
Opel,Astra,1.4 GL,226000
Proton,415,GLS,250000
Volkswagen,Polo,1.6,260000
Renault,Laguna,2.0 RXE,230000
Renault,R 19,1.6 Europa RNE,255000
Ford,Escort,1.6 CLX,162500
Opel,Corsa,1.4 Swing,275000
Fiat,Uno,1.4 ie Hobby,225000
Volkswagen,Polo,1.6 Classic,196000
Ford,Fiesta,1.25 Flair,225000
Opel,Astra,1.6 GLS,325000
Kia,Sephia,1.5 LS,250000
Renault,R 9,1.4 Broadway RNi,245000
Opel,Vectra,2.0 GLS,238000
Volkswagen,Polo,1.6,280000
Toyota,Corolla,1.6 GLi,490000
Volkswagen,Polo,1.4 Sportline,265000
Renault,R 9,1.4 Broadway RNi,240000
Renault,R 19,1.6 Europa RNE,288000
Toyota,Carina,2.0 GLi,300000
Hyundai,Accent,1.3 LS,230000
Toyota,Corolla,1.3 XL,310000
Fiat,Uno,70 SXie,210000
Nissan,Sunny,1.6 SLX,275000
Nissan,Micra,1.3 GX,225000
Fiat,Tempra,1.6 SX,250000
Hyundai,Accent,1.5 GLS,275000
Fiat,Palio,1.6 HL,280000
Volkswagen,Polo,1.6 Classic,290000
Hyundai,Accent,1.5 GLS,90000
Opel,Astra,1.6 GL,360000
Hyundai,Accent,1.5 GLS,270000
Honda,Accord,2.0 LS,285000
Opel,Astra,1.6 GLS,265000
Volkswagen,Passat,1.9 TDi Comfortline,410000
Fiat,Marea,2.0 HLX,145000
Fiat,Tipo,1.6 SLX,225000
Fiat,Uno,70 S,165000
Hyundai,Accent,1.5 GLS,235000
Opel,Astra,1.6 GLS,285000
Renault,R 19,1.4 Europa RNA,170000
Toyota,Corolla,1.6 XEi Special,450000
Opel,Astra,1.6 GLS,285000
Peugeot,106,XR,230000
Mercedes - Benz,E,200 Elegance,625000
Peugeot,106,XS,219000
Opel,Vectra,2.0 CD,310000
Renault,Megane,1.6 RTE,275000
Mercedes - Benz,E,200 Elegance,649500
Renault,R 9,1.4 Broadway RN,210000
Fiat,Tipo,1.4 S,165000
BMW,3 Serisi,316i Compact,355000
Hyundai,Accent,1.5 GLS,280000
Volkswagen,Polo,1.6 Classic,265000
Renault,R 9,1.4 Broadway RNi,220000
Fiat,Tipo,1.4 S,245000
Honda,Civic,1.6 i ES,350000
Hyundai,Accent,1.3 LS,240000
Seat,Cordoba,1.6 SE,280000
Renault,R 9,1.4 Broadway RNi,235000
Volkswagen,Polo,1.6 Classic,270000
Renault,R 19,1.6 Europa RNE,195000
Hyundai,Accent,1.3 LS,237500
Renault,R 19,1.6 Europa iE,265000
Honda,Civic,1.4 S,367500
Ford,Mondeo,2.0 GLX,230000
Renault,R 9,1.4 Broadway RNi,215000
Mazda,323,1.5 Familia,315000
Tofaş,Şahin,S,210000
Renault,R 19,1.6 Europa RNE,270000
Opel,Vectra,2.0 CD,260000
Volkswagen,Polo,1.6 Comfortline,249900
BMW,3 Serisi,316i Compact,360000
Renault,Megane,2.0 RXT,235000
Fiat,Marea,2.0 HLX,260000
Hyundai,Accent,1.3 LS,225000
Volkswagen,Passat,1.8 T Comfortline,418000
Renault,R 19,1.6 Europa RNE,235000
Peugeot,306,1.6 Griffe,299750
Ford,Escort,1.6 CLX,210000
Volkswagen,Passat,1.8 T Highline,512500
Ford,Mondeo,2.0 GLX,290000
Toyota,Corolla,1.6 XEi,330000
Fiat,Tipo,1.4 SX ie,225000
Hyundai,Accent,1.3 LS,240000
Volkswagen,Golf,1.9 TDi,390000
Renault,R 19,1.6 Europa RNE,255000
Fiat,Uno,70 S,195000
Toyota,Corolla,1.3 XE,270000
Fiat,Tipo,1.6 SX,234999
Renault,R 9,1.4 Broadway RN,187000
Renault,Megane,1.6 Cabrio Cabrio,295000
Renault,R 9,1.4 Broadway RN,299000
Opel,Astra,1.6 GLS,340000
Renault,R 9,1.4 Broadway RNi,255000
Opel,Corsa,1.4 Swing,240000
Opel,Astra,1.6 GLS,350000
Audi,A3,A3 Sportback 1.6 Attraction,280750
Tofaş,Şahin,1.4,177000
Renault,Megane,1.6 RTE,227000
Nissan,Micra,1.3 GX,285000
BMW,5 Serisi,520i Standart,580000
Volkswagen,Polo,1.6 Classic,290000
Renault,R 19,1.6 Europa RNE,280000
Opel,Tigra,1.6,110000
Fiat,Uno,70 SX,213000
Fiat,Uno,70 S,169000
Volkswagen,Golf,1.6 Sport,258000
Peugeot,306,1.8 XR,200000
Peugeot,106,XN,171000
Volkswagen,Polo,1.6 Classic,330000
Renault,Laguna,2.0 RXT,310000
Renault,R 9,1.4 Broadway RNi,209999
Fiat,Uno,70 S,220000
Hyundai,Accent,1.5 GLS,325000
Volkswagen,Polo,1.6,270000
Toyota,Carina,2.0 GLi,375000
Renault,R 19,1.6 Europa RTE,230000
Hyundai,Accent,1.3 LS,255000
Ford,Fiesta,1.25 Flair,195990
Alfa Romeo,145,1.4 TS STD,245000
Fiat,Uno,70 S,160000
Volkswagen,Polo,1.6,339000
Ford,Ka,1.3,250000
Ford,Mondeo,2.0 GLX,220000
Ford,Escort,1.6 Ghia,218000
Rover,623 Si,,275000
Fiat,Marea,1.6 ELX,235000
Renault,R 19,1.6 Europa RTE,153000
Renault,R 19,1.4 Europa RNA,220000
Ford,Escort,1.6 CLX,255000
Volkswagen,Polo,1.6,259000
Hyundai,Accent,1.5 GLS,350000
Renault,Laguna,2.0 RXE,265000
Renault,Clio,1.6 RXT,270000
Renault,Laguna,2.0 RXE,235000
Opel,Vectra,2.0 CD,285000
Hyundai,Elantra,1.8 GLS,260000
Hyundai,Accent,1.5 LS,250000
Toyota,Corolla,1.3 XE,248000
Toyota,Corolla,1.3 XL,310000
Fiat,Marea,1.6 ELX,215000
Tofaş,Doğan,SLX ie,198000
Renault,Clio,1.4 RT,220000
Renault,R 19,1.6 Europa RNE,200000
Renault,R 19,1.4 Europa RNA,195000
Peugeot,106,GTI,428000
Hyundai,Accent,1.3 LS,200000
Tofaş,Şahin,S,170000
Renault,R 9,1.4 Broadway RNi,175000
Tofaş,Doğan,SLX ie,235000
Renault,R 19,1.6 Europa RNE,169000
Renault,Megane,1.6 RTE,259500
Toyota,Corolla,1.6 XLi,345000
Opel,Astra,1.6 GLS,275000
Opel,Corsa,1.4 Swing,300000
Opel,Astra,1.6 GLS,343000
Opel,Corsa,1.4 Swing,320000
Skoda,Felicia,1.3 GLXi,200000
Hyundai,Accent,1.3 LS,268500
Fiat,Tipo,1.4 SX ie,210000
Tofaş,Doğan,SLX ie,238500
Rover,214,Si,238000
Volkswagen,Polo,1.6 Classic,290000
BMW,7 Serisi,740i,765000
Ford,Escort,1.6 CLX,199999
Volkswagen,Passat,1.8 Comfortline,315000
Renault,R 9,1.4 Broadway RN,265000
Renault,Laguna,2.0 RXE,280000
Tofaş,Şahin,S,225000
Fiat,Tipo,1.4 S,235000
Renault,R 19,1.6 Europa iE,225000
Renault,R 19,1.6 Europa iE,260000
Ford,Mondeo,2.0 Ghia,293000
Peugeot,306,1.6 Griffe,250000
Peugeot,306,1.6 Griffe,255000
Renault,R 19,1.4 Europa RNA,235000
Renault,Megane,1.6 RTE,250000
Toyota,Carina,2.0 GLi,320000
Renault,R 19,1.6 Europa RNE,260000
Fiat,Uno,70 S,199000
Opel,Omega,2.0,245000
Peugeot,306,1.6 XN,204000
Renault,R 9,1.4 Broadway RN,235000
Volvo,S40,1.6,265000
Opel,Astra,1.6 GLS,260000
Honda,Civic,1.4 S,320000
Opel,Astra,1.6 GLS,340000
Skoda,Felicia,1.3 GLX,195000
Ford,Mondeo,2.0 Ghia,270000
Ford,Escort,1.6 CLX,215000
Volkswagen,Polo,1.6,245000
Fiat,Uno,70 SX,200000
Renault,Megane,1.6,265000
Tofaş,Doğan,SLX ie,165000
Renault,R 9,1.4 Broadway RN,219500
BMW,3 Serisi,320i,900000
Fiat,Tipo,1.4 ie,330000
Hyundai,Accent,1.5 LX,237500
Renault,R 9,1.4 Broadway RNi,220000
Ford,Fiesta,1.25 Flair,200000
Tofaş,Şahin,1.6,175000
Opel,Corsa,1.4 Sport,235000
Fiat,Tipo,1.4 S,200000
Hyundai,Accent,1.5 GT,225990
Toyota,Corolla,1.6 GLi,385000
Opel,Corsa,1.4 Swing,199000
Opel,Corsa,1.4 Swing,225000
Toyota,Corolla,1.6 GLi,440000
Hyundai,Accent,1.3 LS,216000
Renault,Scenic,2.0 RXT,255000
Fiat,Uno,70 S,217000
Hyundai,Accent,1.5 GLS,350000
Ford,Mondeo,2.0 GLX,245000
Renault,R 9,1.4 Broadway RNi,255000
Fiat,Palio,1.6 HL,260000
Renault,R 9,1.4 Broadway RL,182000
Renault,R 19,1.6 Europa RNE,275000
Volkswagen,Polo,1.6 Classic,255000
Hyundai,Accent,1.3 LS,265000
Renault,R 12,Toros,215000
Renault,R 9,1.4 Broadway RNi,240000
Fiat,Marea,1.6 ELX,250000
Mazda,323,1.5 Practica,250000
Fiat,Uno,70 SX,177000
Hyundai,Accent,1.3 LS,215000
Renault,R 19,1.6 Europa RNE,320000
Hyundai,Accent,1.3 LS,229500
Fiat,Tipo,1.6 SLX,260000
Fiat,Tipo,1.4 SX ie,184000
Ford,Mondeo,2.0 Ghia,285750
Renault,Scenic,1.6 RTE,260000
Opel,Astra,1.4 GL,235000
Renault,R 9,1.4 Broadway RN,199999
Renault,Megane,2.0 RXT,220000
Renault,R 9,1.4 Broadway RN,210000
Opel,Vectra,2.0 GLS,275000
Renault,R 9,1.4 Broadway RNi,220000
Fiat,Uno,70 SX,170000
Fiat,Uno,1.4 ie SX,190000
Fiat,Palio,1.4 EL,280000
Renault,Laguna,2.0 RXE,257000
Renault,Megane,1.6 RTE,275000
Fiat,Tempra,1.6 ie SLX,275000
Hyundai,Accent,1.3 LS,275000
Fiat,Tipo,1.6 SX,235000
Tofaş,Doğan,SLX ie,230000
Honda,Civic,1.4 1.4i,350000
Hyundai,Accent,1.5 GLS,292500
Opel,Astra,1.6 GLS,260000
Tofaş,Şahin,S,183000
Fiat,Tipo,1.4 S,220000
Opel,Corsa,1.4 GLS,239000
Renault,R 19,1.6 Europa RNE,280000
Tofaş,Kartal,S,210000
Fiat,Palio,1.6 HL,310000
Toyota,Corolla,1.6 XEi Special,410000
Opel,Astra,1.4 GL,260000
Peugeot,106,XR,245000
Peugeot,106,XR,240000
Opel,Astra,1.6 GLS,307000
Renault,R 19,1.4 Europa RN,210000
Renault,Laguna,2.0 RXE,255000
Fiat,Uno,70 S,163500
Opel,Vectra,2.0 CD,325000
Rover,414,Si,260000
Renault,R 9,1.4 Broadway RN,240000
Proton,413,GLS,120000
Opel,Vectra,2.0 CD,335000
